ID	Name	ChineseName	Glottocode	ISO	Location	Latitude	Longitude
LuzhaiSipai	Luzhai Sipai	鹿寨四排	liuq1235	zlq	鹿寨县四排乡水头村	24.48884	109.73388
LuzhaiLuzhai	Luzhai Luzhai	鹿寨鹿寨	liuq1235	zlq	鹿寨县鹿寨镇独羊村	24.36935	109.746886
XiangzhouDale	Xiangzhou Dale	象州大乐	liuq1235	zlq	象州县大乐镇六回村	24.07619	109.979439
XiangzhouYunjiang	Xiangzhou Yunjiang	象州运江	liuq1235	zlq	象州县运江镇石鼓村	24.137508	109.733639
WuxuanTongling	Wuxuan Tongling	武宣桐岭	east2363	zeh	武宣县桐岭镇新龙村	23.394139	109.594364
WuxuanHuangmao	Wuxuan Huangmao	武宣黄茆	liuq1235	zlq	武宣县黄茆镇根村	23.780134	109.636403
GuipingShilong	Guiping Shilong	桂平石龙	east2363	zeh	桂平市石龙镇永兴村	23.369872	109.830511
GangbeiZhongli	Gangbei Zhongli	港北中里	east2363	zeh	港北区中里乡塘河村	23.281551	109.641785
XingbinSishan	Xingbin Sishan	兴宾寺山	east2363	zeh	兴宾区寺山乡大炉村	23.551889	109.383262
XingbinQianjiang	Xingbin Qianjiang	兴宾迁江	east2363	zeh	兴宾区迁江镇大里村	23.548344	108.900099
ShanglinTanghong	Shanglin Tanghong	上林塘红	east2363	zeh	上林县塘红乡石门村	23.703444	108.605752
ShanglinMingliang	Shanglin Mingliang	上林明亮	east2363	zeh	上林县明亮镇溯浪村	23.39007	108.593644
MashanYongzhou	Mashan Yongzhou	马山永州	cent2009	zch	马山县永州镇胜利村	23.55591	107.824583
MashanBaishan	Mashan Baishan	马山白山	cent2009	zch	马山县白山镇大同村	23.68569	108.17574
DahuaYantan	Dahua Yantan	大化岩滩	cent2009	zch	大化县岩滩镇棉山村	24.026928	107.570884
DahuaLiushui	Dahua Liushui	大化流水	cent2009	zch	大化县流水乡头水片	23.75189	107.9715
DuAnGaoling	Du'an Gaoling	都安高岭	cent2009	zch	都安县高岭镇弄池村	24.06382	108.079128
DuAnBaiwang	Du'an Baiwang	都安百旺	cent2009	zch	都安县百旺乡百旺村	24.11682	108.41675
XinchengBeigeng	Xincheng Beigeng	忻城北更	east2326	zeh	忻城县北更乡塘太村	23.775707	108.559842
XinchengGuosui	Xincheng Guosui	忻城果邃	east2326	zeh	忻城县果遂乡古楼村	23.879303	108.80687
